src,dst,edge_type,start,end,predicted_probability
30,48382,151,1494663180,1494794383,0.50275356
106,8540,78,1494635755,1494835958,0.43733713
106,8540,149,1498383835,1498499059,0.43733713
106,20816,65,1494661105,1494827593,0.40550828
106,28905,19,1494634666,1494767554,0.41975287
106,28905,171,1497643549,1497824035,0.41975287
106,28905,242,1494590891,1494815231,0.41975287
106,60168,33,1494594182,1494816639,0.4512145
106,64560,74,1494654474,1494772472,0.41635868
106,51786,108,1494597706,1494766101,0.4523938
229,28905,65,1494600033,1494807934,0.4863834
229,24137,65,1494584615,1494800936,0.50941986
330,28905,150,1494583924,1494784474,0.42956284
330,59884,221,1494586606,1494795314,0.45644578
760,29023,101,1496723916,1496907315,0.5123997
760,9892,101,1494589054,1494784966,0.49419102
1127,28905,159,1496283889,1496535961,0.4681792
1280,11587,25,1494653855,1494779834,0.39089268
1280,28905,8,1496852711,1497021722,0.3943636
1280,30926,139,1498733984,1498868997,0.42988053
1309,69189,176,1498164251,1498283456,0.4879727
1555,45285,74,1494580275,1494808064,0.4539218
1555,5061,74,1494658636,1494818453,0.5306986
1584,45285,234,1494649147,1494761585,0.43617716
1584,27718,234,1495293226,1495466599,0.46591103
1746,28905,71,1495376845,1495524358,0.44924027
1746,45285,71,1496332279,1496512644,0.42715403
1763,28905,116,1494627765,1494798621,0.4593989
1763,28905,129,1494583625,1494783724,0.4593989
1763,45285,116,1494651591,1494808680,0.4372097
1763,48603,129,1494605978,1494796204,0.44423723
1763,28905,245,1497572250,1497713987,0.4593989
1893,28905,20,1494599155,1494813827,0.43066362
1893,11754,33,1494641603,1494794578,0.39588147
1948,28905,151,1497480238,1497592272,0.41235456
2032,29583,198,1494582590,1494828039,0.5055033
2146,28567,242,1494657442,1494821336,0.49757528
2438,28905,65,1494593262,1494761425,0.46715313
2867,9780,20,1494636960,1494802764,0.4368362
2867,65912,150,1497495980,1497670054,0.46471786
2867,45285,164,1494661265,1494826648,0.4170124
2867,52584,20,1494598032,1494830156,0.47165528
2867,52584,198,1494652774,1494787420,0.47165528
2867,68924,78,1494630999,1494825427,0.44780007
2880,27718,65,1494602982,1494801420,0.4157187
2880,27718,99,1494605830,1494815687,0.4157187
2880,28905,8,1494664548,1494819301,0.40835595
2880,62565,93,1498651820,1498813445,0.44173464
2880,28905,151,1494584832,1494758189,0.40835595
2880,45285,65,1494604100,1494805120,0.38686785
2880,63492,204,1494584922,1494818346,0.41282073
2976,28905,176,1494601959,1494757872,0.45631692
2976,28905,197,1497311612,1497546667,0.45631692
3022,29828,243,1494609902,1494797655,0.4842542
3388,28905,110,1494597060,1494806601,0.4510922
3388,10100,178,1494602023,1494807178,0.4823982
3388,66409,129,1494606179,1494803791,0.48560035
3388,66409,178,1494644919,1494781332,0.48560035
3427,28905,20,1494648366,1494777901,0.46239096
3464,28905,74,1494662773,1494816805,0.45858002
3464,68710,65,1494661729,1494757888,0.4462019
3465,3005,35,1494614518,1494809125,0.4942362
3524,9571,33,1494584777,1494760397,0.4706319
3524,45285,237,1497001389,1497134646,0.45755678
3524,22690,33,1494602931,1494776677,0.5106951
3524,28905,147,1494622929,1494787019,0.4798981
3524,20816,151,1495294540,1495444197,0.46524894
3524,28905,153,1494846354,1494982253,0.4798981
3524,60642,237,1494652477,1494811999,0.48143128
3524,49214,151,1494584244,1494787527,0.4759933
3524,52915,33,1494626674,1494813851,0.51776844
3524,51720,33,1495167345,1495307643,0.49693218
3524,60642,198,1496499914,1496678703,0.48143128
3623,28905,238,1494609484,1494769189,0.46652976
3623,43602,105,1494993828,1495108779,0.50465226
3623,66652,105,1494627928,1494836810,0.46032235
3633,10722,74,1494665265,1494822595,0.3823823
3633,14294,20,1494662668,1494753549,0.36178154
3633,19278,237,1494652258,1494832024,0.38538724
3633,19802,164,1494642411,1494758123,0.37873703
3633,62084,93,1498653336,1498837876,0.3781777
3633,20190,237,1497628782,1497807755,0.38622248
3633,26930,20,1494659454,1494791380,0.38008863
3633,28905,8,1498330407,1498508940,0.35236385
3633,28905,20,1494900792,1495113629,0.35236385
3633,28905,65,1495204159,1495380367,0.35236385
3633,28905,167,1495302596,1495480908,0.35236385
3633,28905,209,1498561822,1498740891,0.35236385
3633,28905,238,1494641096,1494793307,0.35236385
3633,60926,151,1494588636,1494792669,0.38682607
3648,28905,20,1494619554,1494769390,0.3552076
3735,28541,176,1497298301,1497442734,0.4992903
3784,20816,20,1497668151,1497841517,0.4345306
3784,33004,20,1495001491,1495201919,0.43483824
3784,29828,74,1497612093,1497763035,0.4679123
3784,29834,74,1494648259,1494808988,0.4237843
3784,29834,151,1494633525,1494769908,0.4237843
3944,21233,220,1494581572,1494807372,0.5061458
3990,60642,151,1495961872,1496100451,0.4621001
3990,39520,151,1494627342,1494759663,0.437121
4354,28905,8,1498801565,1498976344,0.46055138
4620,47139,198,1494592185,1494836494,0.5082048
4620,1355,234,1498349262,1498568791,0.4074687
4620,60642,14,1494735882,1494935287,0.46579078
4865,16101,65,1494595780,1494789451,0.5081183
5061,14294,33,1496060322,1496181767,0.4697047
5061,63492,237,1494648520,1494780605,0.46408576
5061,28905,71,1496562572,1496699143,0.45950034
5061,28905,147,1498431143,1498571927,0.45950034
5061,61427,237,1495687739,1495830808,0.44305876
5061,29834,151,1494608469,1494781050,0.4341351
5061,60642,33,1498227087,1498440480,0.46102616
5081,24861,36,1494615802,1494826077,0.29262257
5081,28905,112,1496437585,1496592913,0.2989158
5340,69203,178,1494658420,1494761638,0.409155
5502,2032,198,1498151848,1498359669,0.48988461
5502,3784,198,1495395761,1495516477,0.47782576
5502,27955,237,1496275354,1496441400,0.49189407
5502,28905,33,1494654465,1494789854,0.4524184
5502,28905,243,1496530702,1496772753,0.4524184
5502,45826,237,1494662407,1494811207,0.4735472
5592,7469,242,1498526933,1498672828,0.48414043
5592,66652,20,1494594468,1494772207,0.4606157
5592,28905,214,1494625734,1494826205,0.46682364
5929,28567,242,1494584318,1494757069,0.4997455
5980,23510,237,1498328823,1498529039,0.490809
6184,28905,237,1494583190,1494833265,0.46366918
6184,28905,238,1494587557,1494818053,0.46366918
6262,36463,204,1494592778,1494790452,0.4751909
6262,64560,204,1494640833,1494783770,0.46852455
6366,1280,8,1494633383,1494772104,0.4504476
6486,8540,108,1494645865,1494813891,0.47316927
6486,28905,178,1495667866,1495893945,0.4553101
6486,33808,74,1494593795,1494771769,0.4804307
6486,33808,158,1494657224,1494790211,0.4804307
6685,28905,11,1494663556,1494832051,0.4678622
6746,67443,220,1494625808,1494827449,0.4055705
6746,56887,78,1494648247,1494823992,0.4356195
6875,28905,33,1496522077,1496723463,0.46110883
6875,7230,64,1494628166,1494801781,0.47636405
6875,66652,151,1494589209,1494816435,0.4549121
7088,11587,69,1494622451,1494776480,0.4385747
7088,28905,69,1494637157,1494813697,0.44216168
7133,26464,74,1494607785,1494827018,0.47626397
7133,28905,65,1494648620,1494778840,0.46844047
7465,45285,20,1494579656,1494754754,0.4368413
7466,28905,69,1494963538,1495120610,0.46308005
7466,23185,198,1494639228,1494813840,0.48180962
7532,45285,198,1494613172,1494769069,0.44829294
7532,59188,198,1494641254,1494772316,0.5007936
7630,7466,74,1498394993,1498526228,0.48351404
7685,30706,65,1498399833,1498509053,0.4661503
7812,28905,151,1494581741,1494787771,0.46399653
8321,28905,74,1494865639,1495038940,0.4383024
8540,28905,204,1494604588,1494769217,0.43841755
8540,29952,74,1494595083,1494836370,0.46915007
8540,9346,238,1498529065,1498764274,0.36055544
8540,61213,164,1494597819,1494756766,0.4720849
9346,2829,69,1495789683,1495905001,0.41557658
9346,20094,69,1494659557,1494765773,0.4066782
9346,25442,34,1497256655,1497393896,0.42012432
9346,28905,34,1494639291,1494834890,0.38438562
9346,28905,99,1496044116,1496248438,0.38438562
9346,28905,142,1494608839,1494788340,0.38438562
9346,53574,144,1494597919,1494782589,0.41489395
9346,45285,34,1497773834,1497923667,0.3633841
9346,51207,69,1498355801,1498502012,0.41460216
9571,3524,33,1494609104,1494798658,0.4981296
9571,23185,64,1494627963,1494765723,0.4704033
9571,68924,74,1497536323,1497716730,0.46060044
9571,60642,33,1495912286,1496082646,0.45325226
9571,68927,33,1494642952,1494757031,0.49907902
9683,28905,220,1495667988,1495798576,0.45167843
9683,23185,35,1494583258,1494776086,0.47035086
9683,60168,151,1494605627,1494777884,0.48353896
9683,64055,151,1494602859,1494815270,0.48666164
9683,64950,220,1495482577,1495676959,0.431836
9892,27495,33,1498435660,1498676169,0.46706817
9892,21066,33,1494631825,1494806851,0.46661684
9892,28905,90,1496848308,1496970157,0.43457922
9892,28905,93,1495289527,1495454098,0.43457922
9892,42150,104,1498334679,1498428875,0.42890635
9892,36228,147,1497291475,1497484014,0.471903
9892,28905,164,1494611113,1494812853,0.43457922
9892,32403,237,1494655621,1494774999,0.471293
9892,30931,20,1494655569,1494790931,0.43730748
9892,45285,147,1496293966,1496413894,0.41267374
9892,60238,139,1496421053,1496617061,0.47864977
9892,38113,139,1495110759,1495252491,0.4690053
9892,39865,238,1494591031,1494808317,0.46780175
9892,41292,8,1494614587,1494782139,0.41677317
9892,11587,8,1494625089,1494778729,0.43100628
9892,9892,139,1495603958,1495791756,0.4572502
9892,48775,238,1494589742,1494781561,0.47514108
9892,52584,8,1497406491,1497632725,0.4672037
9892,19195,151,1494583631,1494768986,0.4671719
9892,45285,238,1497450249,1497598831,0.41267374
9892,58816,116,1494656185,1494812431,0.45798755
9892,59296,65,1494950982,1495115670,0.4705195
9892,50107,74,1494652236,1494752666,0.46888638
9892,61598,20,1494588330,1494768271,0.47026938
9892,61598,147,1494580466,1494829070,0.47026938
9892,64560,131,1494654848,1494807657,0.43115425
10100,3990,8,1497158402,1497351804,0.4989989
10100,28338,166,1495990490,1496198727,0.4954804
10100,39520,65,1496599818,1496763826,0.44590446
10108,60642,90,1494611392,1494777603,0.46433514
10151,28905,71,1494596280,1494757495,0.45432168
10151,28905,204,1494617991,1494778823,0.45432168
10151,48382,8,1494655363,1494825298,0.493076
10151,48382,198,1494587963,1494813102,0.493076
10270,14294,237,1494649938,1494824083,0.45852137
10456,28905,71,1497196496,1497420131,0.4559852
10456,28905,74,1494586097,1494794789,0.4559852
10456,28905,90,1495226750,1495359924,0.4559852
10649,28505,151,1494657789,1494815664,0.48415506
10649,28905,149,1494652367,1494757956,0.45061043
10649,42589,151,1494598422,1494810212,0.486597
10704,64560,8,1496207051,1496447919,0.44133472
10704,28905,99,1494590263,1494827318,0.44477737
10704,28905,151,1494649779,1494778494,0.44477737
10704,66282,242,1494654163,1494797948,0.47836307
10982,34885,147,1494615975,1494756852,0.4964987
