src,dst,edge_type,start,end,predicted_probability
30,48382,151,1494663180,1494794383,0.44104457
106,8540,78,1494635755,1494835958,0.43413427
106,8540,149,1498383835,1498499059,0.43413427
106,20816,65,1494661105,1494827593,0.41289094
106,28905,19,1494634666,1494767554,0.42453724
106,28905,171,1497643549,1497824035,0.42453724
106,28905,242,1494590891,1494815231,0.42453724
106,60168,33,1494594182,1494816639,0.41875622
106,64560,74,1494654474,1494772472,0.44409075
106,51786,108,1494597706,1494766101,0.44286922
229,28905,65,1494600033,1494807934,0.4609191
229,24137,65,1494584615,1494800936,0.324574
330,28905,150,1494583924,1494784474,0.4279764
330,59884,221,1494586606,1494795314,0.37612563
760,29023,101,1496723916,1496907315,0.8214748
760,9892,101,1494589054,1494784966,0.40444285
1127,28905,159,1496283889,1496535961,0.41184485
1280,11587,25,1494653855,1494779834,0.40866742
1280,28905,8,1496852711,1497021722,0.41930026
1280,30926,139,1498733984,1498868997,0.4922081
1309,69189,176,1498164251,1498283456,0.41037595
1555,45285,74,1494580275,1494808064,0.42339012
1555,5061,74,1494658636,1494818453,0.42084917
1584,45285,234,1494649147,1494761585,0.40856734
1584,27718,234,1495293226,1495466599,0.41892308
1746,28905,71,1495376845,1495524358,0.40812653
1746,45285,71,1496332279,1496512644,0.4045508
1763,28905,116,1494627765,1494798621,0.41924027
1763,28905,129,1494583625,1494783724,0.41924027
1763,45285,116,1494651591,1494808680,0.41563556
1763,48603,129,1494605978,1494796204,0.22133397
1763,28905,245,1497572250,1497713987,0.41924027
1893,28905,20,1494599155,1494813827,0.38729706
1893,11754,33,1494641603,1494794578,0.2751029
1948,28905,151,1497480238,1497592272,0.41736585
2032,29583,198,1494582590,1494828039,0.45372474
2146,28567,242,1494657442,1494821336,0.7299911
2438,28905,65,1494593262,1494761425,0.4604836
2867,9780,20,1494636960,1494802764,0.2527142
2867,65912,150,1497495980,1497670054,0.42989573
2867,45285,164,1494661265,1494826648,0.42260498
2867,52584,20,1494598032,1494830156,0.42760038
2867,52584,198,1494652774,1494787420,0.42760038
2867,68924,78,1494630999,1494825427,0.5197921
2880,27718,65,1494602982,1494801420,0.41715425
2880,27718,99,1494605830,1494815687,0.41715425
2880,28905,8,1494664548,1494819301,0.41039363
2880,62565,93,1498651820,1498813445,0.3707633
2880,28905,151,1494584832,1494758189,0.41039363
2880,45285,65,1494604100,1494805120,0.40681168
2880,63492,204,1494584922,1494818346,0.4218986
2976,28905,176,1494601959,1494757872,0.44039533
2976,28905,197,1497311612,1497546667,0.44039533
3022,29828,243,1494609902,1494797655,0.2786261
3388,28905,110,1494597060,1494806601,0.42767927
3388,10100,178,1494602023,1494807178,0.52996457
3388,66409,129,1494606179,1494803791,0.43704402
3388,66409,178,1494644919,1494781332,0.43704402
3427,28905,20,1494648366,1494777901,0.43908125
3464,28905,74,1494662773,1494816805,0.42328972
3464,68710,65,1494661729,1494757888,0.4322851
3465,3005,35,1494614518,1494809125,0.42996523
3524,9571,33,1494584777,1494760397,0.3836057
3524,45285,237,1497001389,1497134646,0.42524254
3524,22690,33,1494602931,1494776677,0.46100503
3524,28905,147,1494622929,1494787019,0.42886943
3524,20816,151,1495294540,1495444197,0.41719046
3524,28905,153,1494846354,1494982253,0.42886943
3524,60642,237,1494652477,1494811999,0.43676922
3524,49214,151,1494584244,1494787527,0.6265825
3524,52915,33,1494626674,1494813851,0.45611143
3524,51720,33,1495167345,1495307643,0.3635695
3524,60642,198,1496499914,1496678703,0.43676922
3623,28905,238,1494609484,1494769189,0.4192164
3623,43602,105,1494993828,1495108779,0.44411644
3623,66652,105,1494627928,1494836810,0.4245363
3633,10722,74,1494665265,1494822595,0.43599942
3633,14294,20,1494662668,1494753549,0.4308563
3633,19278,237,1494652258,1494832024,0.45109123
3633,19802,164,1494642411,1494758123,0.44556978
3633,62084,93,1498653336,1498837876,0.4436755
3633,20190,237,1497628782,1497807755,0.33494475
3633,26930,20,1494659454,1494791380,0.43424582
3633,28905,8,1498330407,1498508940,0.41413683
3633,28905,20,1494900792,1495113629,0.41413683
3633,28905,65,1495204159,1495380367,0.41413683
3633,28905,167,1495302596,1495480908,0.41413683
3633,28905,209,1498561822,1498740891,0.41413683
3633,28905,238,1494641096,1494793307,0.41413683
3633,60926,151,1494588636,1494792669,0.41699937
3648,28905,20,1494619554,1494769390,0.41824183
3735,28541,176,1497298301,1497442734,0.4382581
3784,20816,20,1497668151,1497841517,0.42011124
3784,33004,20,1495001491,1495201919,0.44014403
3784,29828,74,1497612093,1497763035,0.44005683
3784,29834,74,1494648259,1494808988,0.3743548
3784,29834,151,1494633525,1494769908,0.3743548
3944,21233,220,1494581572,1494807372,0.469575
3990,60642,151,1495961872,1496100451,0.31421772
3990,39520,151,1494627342,1494759663,0.30771258
